OrderID,CustomerID,ProductID,Category,Price,Quantity,Delivery_Rating,Review_Text,Discount,Shipping_Cost,Discount_Percentage,Total_Amount,Net_Sales
ORD100107,CUST10502,PROD2618,Books,251.48,2.0,,Good value for money.,18.73,89.29,18.73,502.96,498.045592
ORD105484,CUST12938,PROD1717,Electronics,355.29,2.0,3.0,Average product.,47.54,37.93,47.54,710.58,410.7002680000001
ORD106998,CUST11098,PROD1653,,,,,Fast delivery and great packaging.,36.6,96.86,36.6,,
ORD103984,CUST10945,PROD2246,Sports,367.11,1.0,1.0,Exceeded expectations.,29.93,60.92,29.93,367.11,318.153977
ORD103111,CUST10200,PROD1854,,340.88,1.0,,Exceeded expectations.,7.8,26.81,7.8,340.88,341.10136
ORD104040,CUST10383,PROD2908,Toys,,3.0,,Five stars!,7.8,143.33,7.8,,
ORD103013,CUST10656,PROD1071,Toys,181.14,2.0,2.0,"Excellent product, highly recommend.",2.9,103.39,2.9,362.28,455.16388
ORD106607,CUST12772,PROD2769,Electronics,17.52,4.0,4.0,Five stars!,43.31,134.0,43.31,70.08,173.728352
ORD104219,CUST14804,PROD2982,Books,83.93,3.0,3.0,Fast delivery and great packaging.,30.06,107.89,30.06,251.79,283.99192600000003
ORD108750,CUST11403,PROD2439,Clothing,230.17,3.0,4.0,Average product.,35.4,66.41,35.4,690.51,512.47946
ORD105665,CUST11490,PROD2545,Sports,250.29,1.0,2.0,Exceeded expectations.,1.03,86.65,1.03,250.29,334.362013
ORD109225,CUST14684,PROD2712,Toys,42.61,1.0,5.0,Five stars!,48.5,107.85,48.5,42.61,129.79415
ORD108030,CUST13523,PROD2095,Grocery,79.73,4.0,1.0,Exceeded expectations.,41.62,144.83,41.62,318.92,331.01549600000004
ORD109886,CUST12722,PROD2274,Toys,351.99,2.0,4.0,Good value for money.,10.62,52.98,10.62,703.98,682.197324
ORD101851,CUST12863,PROD2324,Clothing,357.77,3.0,2.0,Good value for money.,9.09,133.75,9.09,1073.31,1109.496121
ORD101123,CUST12573,PROD2080,Clothing,236.93,4.0,3.0,Quality could be better.,9.17,140.13,9.17,947.72,1000.944076
ORD103043,CUST13488,PROD1642,Sports,24.87,4.0,1.0,Average product.,15.21,107.15,15.21,99.48,191.499092
ORD103369,CUST12993,PROD2491,Clothing,376.82,2.0,2.0,Fast delivery and great packaging.,26.24,141.06,26.24,753.64,696.944864
ORD106829,CUST13117,PROD2928,Clothing,236.45,4.0,2.0,Fast delivery and great packaging.,21.6,71.72,21.6,945.8,813.2272
ORD108088,CUST10091,PROD1166,Grocery,476.68,2.0,5.0,Five stars!,14.56,143.89,14.56,953.36,958.440784
ORD103088,CUST13735,PROD1534,Sports,54.25,1.0,4.0,Will buy again.,30.59,111.36,30.59,54.25,149.014925
ORD109405,CUST11796,PROD2614,Books,245.48,1.0,3.0,Terrible experience.,6.97,25.46,6.97,245.48,253.830044
ORD109535,,PROD1841,Sports,446.73,1.0,5.0,"Excellent product, highly recommend.",14.61,137.89,14.61,446.73,519.352747
ORD104993,CUST10886,PROD1526,Beauty,169.43,1.0,,Not as described.,18.32,82.98,18.32,169.43,221.370424
ORD104209,CUST13486,PROD1026,Sports,13.01,1.0,2.0,Will buy again.,22.8,79.84,22.8,13.01,89.88372000000001
ORD100449,CUST11625,PROD2481,Beauty,231.53,3.0,2.0,Good value for money.,39.26,93.64,39.26,694.59,515.5339660000001
ORD106167,CUST14517,PROD2360,Electronics,76.11,4.0,2.0,Quality could be better.,9.98,39.42,9.98,304.44,313.47688800000003
ORD104688,CUST12432,PROD2073,Electronics,71.94,4.0,4.0,Will buy again.,25.71,80.99,25.71,287.76,294.766904
ORD106877,CUST13727,PROD2313,Electronics,411.67,1.0,,Terrible experience.,29.62,128.05,29.62,411.67,417.783346
ORD108241,CUST13786,PROD1234,Grocery,48.23,3.0,5.0,Quality could be better.,2.32,22.01,2.32,144.69,163.343192
ORD108412,CUST12756,PROD2005,Sports,246.96,4.0,4.0,Average product.,30.38,55.48,30.38,987.84,743.2142080000001
ORD110146,CUST14858,PROD1942,Sports,43.36,4.0,,Quality could be better.,8.53,20.32,8.53,173.44,178.965568
ORD107947,,PROD1525,Beauty,206.1,,,Exceeded expectations.,3.25,74.04,3.25,,
ORD109345,CUST10544,PROD1824,Beauty,163.64,1.0,,Average product.,47.44,114.68,47.44,163.64,200.689184
ORD102514,CUST10097,PROD2816,Toys,440.27,3.0,2.0,Five stars!,48.28,123.84,48.28,1320.81,806.962932
ORD102908,,PROD2106,Books,27.56,3.0,,Quality could be better.,40.42,142.87,40.42,82.67999999999999,192.130744
ORD105938,CUST12699,PROD2172,Grocery,466.36,1.0,,Will buy again.,15.23,99.11,15.23,466.36,494.443372
ORD105015,CUST12842,PROD1993,Grocery,222.22,3.0,,Not as described.,4.88,53.1,4.88,666.66,687.226992
ORD109595,CUST12514,PROD1235,Books,143.02,2.0,2.0,Exceeded expectations.,34.21,140.14,34.21,286.04,328.325716
ORD108769,CUST11865,PROD1687,Home & Kitchen,231.17,3.0,3.0,Average product.,22.01,120.79,22.01,693.51,661.6584489999999
ORD104786,CUST12845,PROD2701,Clothing,483.18,,5.0,"Excellent product, highly recommend.",6.1,94.68,6.1,,
ORD102602,CUST13864,PROD1968,Home & Kitchen,200.59,1.0,5.0,Not as described.,24.76,110.43,24.76,200.59,261.353916
ORD107779,CUST13192,PROD1203,Beauty,183.24,1.0,1.0,"Excellent product, highly recommend.",1.72,140.16,1.72,183.24,320.24827200000004
ORD102826,CUST10018,PROD2652,Electronics,134.91,4.0,,Five stars!,45.47,112.61,45.47,539.64,406.875692
ORD101118,CUST14831,PROD1359,Beauty,254.46,4.0,,Will buy again.,12.94,67.89,12.94,1017.84,954.021504
ORD103485,CUST13786,PROD2320,,408.52,1.0,1.0,Not as described.,33.13,112.69,33.13,408.52,385.867324
ORD102980,CUST12721,PROD1199,Sports,336.81,3.0,,Five stars!,15.59,25.24,15.59,1010.43,878.1439630000001
ORD102317,CUST10448,PROD1141,Grocery,148.28,2.0,2.0,Not as described.,26.0,70.23,26.0,296.56,289.6844
ORD107719,CUST14808,PROD1060,Books,201.84,1.0,4.0,Terrible experience.,27.34,72.82,27.34,201.84,219.476944
ORD106575,CUST13992,PROD2923,Electronics,63.67,2.0,3.0,Average product.,9.24,41.69,9.24,127.34,157.263784
ORD101722,CUST11993,PROD2626,Beauty,,1.0,,Quality could be better.,48.48,23.0,48.48,,
ORD107234,,PROD1066,Electronics,417.08,,,Exceeded expectations.,38.76,37.34,38.76,,
ORD108366,CUST14541,PROD2997,Toys,393.53,2.0,,Exceeded expectations.,46.97,105.1,46.97,787.06,522.477918
ORD103948,CUST13687,PROD2675,Books,,1.0,3.0,Exceeded expectations.,44.74,124.3,44.74,,
